_key,detail_id,effect_id,effect_param,calc_pos,calc_param,attack_type,select_skill_param,target_type,select_type,flag_add_round,available_hit,hit_by_hit,init_effect_ratio,intel_param,constant_param,prob_init_param,prob_max_param,display_param,bind_flag,cast_condition,precondition,condition,lock_flag,add_count_max,report_show_type,report_id,custom_select_flag,buff_type,attack_max,target_country,select_attri,delay_round,delay_hit,available_round,clear_per_hit,attri_type,select_flag,inherent,value_add_max,shi_qi_affect,hide_conflict,prob_series,calc_type,effect_name
20000101,20000101,101,0,0,0,11,0,0,0,0,0,0,50,2200,1000,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,,,攻击属性提高
20000102,20000102,402,0,311,0,11,0,0,0,0,0,0,50,135,26,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,,,休整
20000200,20000200,207,0,0,0,41,0,0,0,0,0,0,100,0,100000000,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,,,不可回复兵力
20000201,20000201,303,0,311,0,41,0,0,0,0,0,0,50,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,,,动摇
20000202,20000202,304,0,311,0,41,0,0,0,0,0,0,50,100,20,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,,,恐慌
20000203,20000203,305,0,311,0,41,0,0,0,0,0,0,50,100,20,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,,,燃烧
20000204,20000204,306,0,311,0,41,0,0,0,0,0,0,50,100,20,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,,,妖术
20000205,20000205,501,0,0,0,41,0,0,0,0,0,0,100,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,,,混乱
20000206,20000206,502,0,0,0,41,0,0,0,0,0,0,100,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,,,犹豫
20000207,20000207,503,0,0,0,41,0,0,0,0,0,0,100,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,,,暴走
20000208,20000208,552,0,0,0,41,0,0,0,0,0,0,100,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,,,怯战
20000209,20000209,505,0,0,0,41,0,0,0,0,0,0,100,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,,,挑衅
20000211,20000211,303,0,311,0,41,0,0,0,0,0,0,50,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,,,动摇
20000212,20000212,304,0,311,0,41,0,0,0,0,0,0,50,100,20,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,,,恐慌
20000213,20000213,305,0,311,0,41,0,0,0,0,0,0,50,100,20,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,,,燃烧
20000214,20000214,306,0,311,0,41,0,0,0,0,0,0,50,100,20,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,,,妖术
20000215,20000215,505,0,0,0,41,0,0,0,0,0,0,100,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,,,挑衅
20000216,20000216,207,0,0,0,41,0,0,0,0,0,0,100,0,100000000,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,,,不可回复兵力
20000221,20000221,303,0,311,0,41,0,0,0,0,0,0,50,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,,,动摇
20000222,20000222,304,0,311,0,41,0,0,0,0,0,0,50,100,20,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,,,恐慌
20000223,20000223,305,0,311,0,41,0,0,0,0,0,0,50,100,20,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,,,燃烧
20000224,20000224,306,0,311,0,41,0,0,0,0,0,0,50,100,20,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,,,妖术
20000225,20000225,501,0,0,0,41,0,0,0,0,0,0,100,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,,,混乱
20000226,20000226,502,0,0,0,41,0,0,0,0,0,0,100,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,,,犹豫
20000227,20000227,503,0,0,0,41,0,0,0,0,0,0,100,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,,,暴走
20000228,20000228,552,0,0,0,41,0,0,0,0,0,0,100,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,,,怯战
20000229,20000229,505,0,0,0,41,0,0,0,0,0,0,100,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,,,挑衅
20000230,20000230,207,0,0,0,41,0,0,0,0,0,0,100,0,100000000,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,,,不可回复兵力
20000231,20000231,303,0,311,0,41,0,0,0,0,0,0,50,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,,,动摇
20000232,20000232,304,0,311,0,41,0,0,0,0,0,0,50,100,20,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,,,恐慌
20000233,20000233,305,0,311,0,41,0,0,0,0,0,0,50,100,20,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,,,燃烧
20000234,20000234,306,0,311,0,41,0,0,0,0,0,0,50,100,20,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,,,妖术
20000235,20000235,505,0,0,0,41,0,0,0,0,0,0,100,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,,,挑衅
20000236,20000236,207,0,0,0,41,0,0,0,0,0,0,100,0,100000000,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,,,不可回复兵力
20000241,20000241,303,0,311,0,41,0,0,0,0,0,0,50,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,0,,,动摇
20000242,20000242,304,0,311,0,41,0,0,0,0,0,0,50,100,20,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,0,,,恐慌
20000243,20000243,305,0,311,0,41,0,0,0,0,0,0,50,100,20,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,0,,,燃烧
20000244,20000244,306,0,311,0,41,0,0,0,0,0,0,50,100,20,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,0,,,妖术
20000245,20000245,501,0,0,0,41,0,0,0,0,0,0,100,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,0,,,混乱
20000246,20000246,502,0,0,0,41,0,0,0,0,0,0,100,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,0,,,犹豫
20000247,20000247,503,0,0,0,41,0,0,0,0,0,0,100,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,0,,,暴走
20000248,20000248,552,0,0,0,41,0,0,0,0,0,0,100,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,0,,,怯战
20000249,20000249,505,0,0,0,41,0,0,0,0,0,0,100,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,0,,,挑衅
20000250,20000250,207,0,0,0,41,0,0,0,0,0,0,100,0,100000000,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,0,,,不可回复兵力
20000251,20000251,303,0,311,0,41,0,0,0,0,0,0,50,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,0,,,动摇
20000252,20000252,304,0,311,0,41,0,0,0,0,0,0,50,100,20,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,0,,,恐慌
20000253,20000253,305,0,311,0,41,0,0,0,0,0,0,50,100,20,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,0,,,燃烧
20000254,20000254,306,0,311,0,41,0,0,0,0,0,0,50,100,20,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,0,,,妖术
20000255,20000255,505,0,0,0,41,0,0,0,0,0,0,100,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,0,,,挑衅
20000256,20000256,207,0,0,0,41,0,0,0,0,0,0,100,0,100000000,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,0,,,不可回复兵力
20000301,20000301,77,0,0,0,43,0,0,0,0,0,0,100,0,0,100,100,0,0,4013,0,0,0,0,10010000,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,,,标记
20000311,20000311,301,0,0,0,95,0,0,0,0,1,0,50,0,275,100,100,0,0,500,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,攻击伤害
20000321,20000321,301,0,0,0,41,0,0,0,0,1,0,50,0,275,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,攻击伤害
20000322,20000322,501,0,0,0,41,0,0,0,0,0,0,100,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,,,混乱
20000331,20000331,152,20000301,0,0,113,0,0,0,0,1,0,100,0,0,100,100,0,0,320000301,0,0,0,0,10000,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,移除效果
20000401,20000401,401,0,0,0,23,0,0,0,0,1,0,50,305,35,100,100,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,急救
20000402,20000402,402,0,311,0,23,0,0,0,0,1,0,50,375,56,100,100,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,休整
20000501,20000501,503,0,0,0,43,0,0,0,0,0,0,50,0,0,100,100,0,0,227000501,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,,,暴走
20000502,20000502,202,0,0,0,43,0,0,0,0,0,0,50,3500,1500,100,100,0,0,227000501,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,,,防御属性降低
20000511,20000511,503,0,0,0,43,0,0,0,0,0,0,50,0,0,100,100,0,0,127000501,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,,,暴走
20000512,20000512,202,0,0,0,43,0,0,0,0,0,0,50,3500,1500,100,100,0,0,127000501,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,,,防御属性降低
20000601,20000601,122,0,0,0,23,0,0,0,0,1,0,100,0,210006,100,100,0,0,0,0,0,0,0,100000000,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,子技能（有益）
20000612,20000612,122,0,0,0,21,0,0,9,0,1,0,100,0,211006,100,100,0,0,127000601,0,0,0,0,100000000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,,子技能（有益）
20000701,20000701,302,0,0,0,43,0,0,0,0,1,0,50,125,35,100,100,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,策略攻击伤害
20000712,20000712,522,0,0,0,0,0,0,0,0,0,0,50,35,35,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,,,受到攻击伤害降低
20000713,20000713,524,0,0,0,0,0,0,0,0,0,0,50,35,35,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,,,受到策略攻击伤害降低
20000801,20000801,152,20000802,0,0,0,0,0,0,0,1,0,100,0,0,100,100,0,0,0,0,0,0,0,10000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,移除效果
20000802,20000802,401,500000000,911,0,0,0,0,0,0,0,0,50,40,44,100,100,0,0,420000802,0,26636,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,1,0,0,0,,,急救
20000811,20000811,306,0,311,0,43,0,0,0,0,0,0,50,350,40,100,100,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,,,妖术
20000901,20000901,542,0,997,0,0,0,0,0,0,0,0,50,0,50,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,,,攻心
20000902,20000902,522,0,0,0,0,0,0,0,0,0,0,50,20,22,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,1,0,0,0,0,0,,,受到攻击伤害降低
20000903,20000903,524,0,0,0,0,0,0,0,0,0,0,50,20,22,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,1,0,0,0,0,0,,,受到策略攻击伤害降低
20001001,20001001,101,0,0,0,0,0,0,0,0,0,0,50,0,4500,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,,,攻击属性提高
20001002,20001002,106,0,0,0,0,0,0,0,0,0,0,100,0,2,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,,,攻击距离提高
20001003,20001003,511,0,0,0,0,0,0,0,0,0,0,100,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,,,洞察
20001004,20001004,551,0,0,0,0,0,0,0,0,0,0,50,0,200,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,,,反击
20001015,20001015,505,0,0,0,43,0,0,0,0,0,0,100,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,,,挑衅
20001101,20001101,201,0,0,0,43,0,0,0,0,0,0,50,3000,1000,100,100,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,,,攻击属性降低
20001102,20001102,203,0,0,0,43,0,0,0,0,0,0,50,3000,1000,100,100,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,,,谋略属性降低
20001103,20001103,306,0,31111,0,43,0,0,0,0,0,0,50,275,30,100,100,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,,,妖术
20001104,20001104,302,0,0,0,43,0,0,0,0,1,0,50,100,40,100,100,0,0,127001101,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,策略攻击伤害
20001201,20001201,771,0,991,0,0,0,0,0,0,2,0,100,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,无视兵种相克(预备)
20001212,20001212,301,0,0,0,43,0,0,34,0,1,0,50,0,140,100,100,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,攻击伤害
20001213,20001213,532,0,991,1,43,0,0,34,0,0,0,50,0,9000,100,100,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,,,攻击伤害降低
20001224,20001224,301,0,0,0,43,0,0,34,0,1,0,50,0,140,100,100,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,攻击伤害
20001301,20001301,902,0,311,0,0,0,0,0,0,0,0,100,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,1,0,0,0,,,无法发动主动战法
20001302,20001302,531,0,0,0,0,0,0,0,0,0,0,50,0,120,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,,,攻击伤害提高
