_key,effect_id,show_priority,virtual,buff_type,replace_type,value_type,name,tips
77,77,8,1,2,1,0,标记,标记
79,79,4,1,2,3,0,模拟一次普通攻击,模拟一次普通攻击
80,80,4,1,2,3,0,对攻击范围进行普通攻击,对攻击范围进行普通攻击
81,81,4,1,2,3,0,合击,合击
82,82,4,1,2,3,1,伤害率波动上限,伤害率波动上限
83,83,4,1,2,3,1,伤害率波动下限,伤害率波动下限
88,88,4,1,2,3,1,多个效果共用次数,效果共用次数
98,98,8,1,1,0,1,受兵种伤害+,受兵种伤害提高
99,99,8,1,2,0,1,受兵种伤害-,受兵种伤害下降
101,101,7,1,2,0,2,攻击属性提高,攻击属性提高
102,102,7,1,2,0,2,防御属性提高,防御属性提高
103,103,7,1,2,0,2,谋略属性提高,谋略属性提高
104,104,7,1,2,0,2,速度属性提高,速度属性提高
105,105,7,1,2,0,2,攻城属性提高,攻城属性提高
106,106,7,1,2,0,0,攻击距离提高,攻击距离提高
107,107,3,1,2,0,0,兵力上限提高,兵力上限
111,111,9,1,2,1,1,额外参数,额外参数
112,112,9,1,2,1,1,数值变化,数值变化
113,113,2,1,2,1,0,士气提升,士气提升
114,114,2,1,1,1,0,士气降低,士气降低
115,115,2,1,2,3,0,战法等级提升,战法等级提升
116,116,4,1,2,3,0,规避负面效果,规避负面效果
117,117,2,1,2,3,0,战法目标数提升,战法目标数提升
118,118,4,1,2,3,0,抵御,抵御
120,120,2,1,1,3,0,无法受到来自友军的有益战法影响,无法受到来自友军的有益战法影响
121,121,3,1,2,3,1,不受指挥战法影响,不受指挥战法影响
122,122,4,1,2,1,1,子技能（有益）,子技能（有益）
123,123,4,1,1,1,1,子技能（有害）,子技能（有害）
125,125,4,1,2,2,1,傀儡（有益）,傀儡（有益）
126,126,4,1,1,2,1,傀儡（有害）,傀儡（有害）
127,127,2,1,2,3,1,伤害分摊,伤害分摊
128,128,4,1,2,3,1,远攻,远攻
129,129,4,1,2,3,1,再次发动武将主动战法（跳过所有准备回合）,再次发动主动战法
130,130,4,1,2,3,1,再次发动武将追击战法,再次发动追击战法
131,131,6,1,2,2,1,发动率提高,发动率提高
132,132,4,1,2,3,0,解锁效果,解锁效果
133,133,4,1,2,3,0,替换效果,替换效果
134,134,4,1,2,3,0,替换指定战法,战法替换
