_key,skill_id,skill_quality,skill_quality_view,hit_range,prepare,probability_init,probability_max,main_detail,season,skill_type,show_skill_type,counselor,side_only,special,name,description,target_description,skill_mark_type,flag,skill_quality_level,tag,brief_description,main_effect_id,main_effect_name,main_buff_type
200001,200001,5,49,2,0,40,40,20000101,0,3,0,0,0,0,衣带密诏,使友军单体的攻击属性提高#effect_01#（受谋略属性影响），并使其进入休整状态，每回合恢复一定兵力（恢复率#effect_02#%，受谋略属性影响），持续#available_round_01#,0,"3,4",41,C,,使友军单体的攻击属性提高，使其进入休整状态,101,攻击属性提高,0
200002,200002,6,59,6,0,120,120,20000201,0,3,0,0,0,0,乱政,使敌军单体获得如下10个负面效果中的1个：动摇、恐慌、燃烧、妖术、混乱、犹豫、暴走、怯战、挑衅、围困，持续2回合，该效果执行3次，每次的目标和效果独立判定。其中动摇、恐慌、燃烧、妖术的伤害率随战法等级提升,0,"4,","11,21,31,51",A,,使敌军单体陷入10个负面效果中的1个，该效果执行3次，每次的目标和效果独立判定,303,动摇,0
200003,200003,6,59,5,0,35,35,20000321,0,3,0,0,0,0,金吾飞将,对处于混乱或暴走状态的敌军单体发动一次猛攻（伤害率#effect_11#%）；对随机敌军单体发动一次猛攻（伤害率#effect_21#%），并使其陷入混乱状态，持续#available_round_22#,敌军单体,"1,","11,31,51",S,,对处于混乱或暴走状态的敌军单体造成一次攻击伤害；对敌军单体造成一次攻击伤害，并使其陷入混乱状态,301,攻击伤害,0
200004,200004,6,59,2,0,40,40,20000401,0,3,0,0,0,0,胡笳离愁,恢复我军群体较多兵力（恢复率#effect_01#%，受谋略属性影响），并使其进入休整状态，每回合再度恢复大量兵力（恢复率#effect_02#%，受谋略属性影响），持续@1回合@,0,"3,",41,B,,恢复我军群体兵力，使其进入休整状态,401,急救,0
200005,200005,6,59,4,1,40,40,20000501,0,3,0,0,0,0,闭月,#prepare#准备，使敌军群体陷入暴走状态，进行无差别攻击，并使其防御属性降低#effect_02#（受谋略属性影响），持续#available_round_02#$$$#prepare#准备，使敌军群体陷入暴走状态，进行无差别攻击，并使其防御属性降低#effect_12#（受谋略属性影响），持续#available_round_12#,0,"4,",31,B,,1回合准备，使敌军群体陷入暴走状态，并使其防御属性降低,503,暴走,0
200006,200006,6,59,5,0,35,35,20000601,0,3,0,0,0,0,四世三公,使我军全体分别对距离5以内的敌军单体发动一次攻击（伤害率#subsk_210006_effect_01#%），每次目标独立判定$$$使我军全体分别对距离5以内的敌军单体发动一次攻击（伤害率#subsk_210006_effect_01#%），每次目标独立判定，^额外使我军攻击属性最高单体，对敌军防御最低单体发动一次攻击^（伤害率#subsk_211006_effect_01#%）,敌军单体,"1,","11,51",B,,使我军全体分别对敌军单体造成一次攻击伤害，每次目标独立判定$$$使我军全体分别对敌军单体造成一次攻击伤害，每次目标独立判定，^随后额外造成一次攻击伤害^,122,子技能（有益）,0
200007,200007,6,59,3,0,35,35,20000701,0,3,0,0,0,0,将倾之柱,对敌军群体发动一次策略攻击（伤害率#effect_01#%，受谋略属性影响），使自身受到攻击与策略攻击的伤害下降#effect_12#%（受防御属性影响）持续#available_round_12#,0,"2,4","21,51",B,,对敌军群体造成一次策略伤害，使自身受到的所有伤害降低,302,策略攻击伤害,0
200008,200008,6,59,5,1,35,35,20000811,0,3,0,0,0,0,黄天当立,#prepare#准备，使敌军全体陷入妖术诅咒，每回合损失一定兵力（伤害率#effect_11#%，受谋略属性影响），持续#available_round_11#；敌军受到该战法的妖术伤害时，张角恢复一定兵力（恢复率#effect_02#%，受谋略属性影响）,敌军全体,0,"21,51,41",A,,1回合准备，使敌军全体陷入妖术状态；敌军受到妖术伤害时，张角恢复自身兵力,306,妖术,0
200009,200009,6,59,1,0,100,100,20000901,0,1,0,0,0,0,逆谋,使自身受到攻击与策略攻击的伤害降低#effect_02#%（受攻击属性影响），在战斗中造成攻击伤害时，能够借此恢复相当于伤害值#effect_01#%的兵力,0,"4,3",,B,,使自身受到的所有伤害降低，并使自身造成攻击伤害时，借此伤害恢复自身兵力,542,攻心,0
200010,200010,6,59,5,0,100,100,20001001,0,1,0,0,0,0,天下无双,战斗开始后前#available_round_01#，使自身获得以下效果：攻击属性提高#effect_01#，攻击距离+2，并进入洞察状态，免疫混乱、犹豫、怯战、暴走和挑衅效果，受到普通攻击后能进行反击（伤害率#effect_04#%），并挑衅敌军全体使其攻击自身,0,"4,",,S,,前四回合，使自身攻击属性提升，攻击距离+2，并进入洞察状态，受到普通攻击后进行反击并挑衅敌军全体,101,攻击属性提高,0
