_key,heroid,cost,hero_type,hit_range,attack_base,defence_base,intel_base,speed_base,destroy_base,attack_grow,defence_grow,intel_grow,speed_grow,destroy_grow,skill_init,base_hero_id,icon_hero_id,hero_type_feature,season,book_type,valid_time,release_time,policy_id,title_heroid,achieve_heroid,free_forget_skill_activity_id,free_forget_skill_time,fashion,show_priority,balance_activity_id,balance_skill_reset,balance_policy_reset,balance_policy_time_limit,country,quality,sex,space_type,is_season_card,is_release,is_op,is_sp_card,is_memorize_card,is_baijia_hero,hero_type_availible,func_availible,name,author,description,birth_and_death_year,second_name,hero_features_availible,share_description,head_icon_ids,tag,facade_ex_hero_id,balance_description,country_name,quality_name
1,1,100,2,3,900,900,900,900,900,9,9,9,9,9,200108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,2,,默认画像,,默认画像用,?,,,,0,,,,群,四星
2,2,100,3,3,900,900,900,900,900,9,9,9,9,9,200108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,3,,默认画像,,默认画像用（敬请期待）,?,,,,0,,,,群,四星
3,3,100,2,3,900,900,900,900,900,9,9,9,9,9,200108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,2,,默认头像,,默认头像,?,,,,301,,,,群,四星
100001,100001,25,1,3,3500,8100,8100,4100,900,38,114,79,45,41,200001,0,0,0,0,0,0,0,210031,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,"1,11,32",,献帝,,@【史】@东汉最后一任皇帝，公元189年－220年在位。因被董太后抚养，故称“董侯”，初封渤海王，后改封陈留王。公元189年，董卓废汉少帝刘辩，立刘协为皇帝。董卓被王允和吕布诛灭后，董卓部将李傕等攻入长安，再次挟持了他，后来逃出长安。公元196年，曹操控制了刘协，并迁都许县，挟天子以令诸侯。公元220年，曹操病死，刘协被曹丕控制，随后被迫禅让于曹丕。公元234年，刘协寿终正寝，享年54岁。\n^【演】^在《三国演义》中，他是汉灵帝中子。汉中平九月甲戌，即皇帝位，年九岁。后为董卓、曹操接连要挟，成为傀儡。建安二十五年冬十月乙卯，帝逊位，丕称天子。奉帝为山阳公。传言帝遇害，汉中王刘备闻知，痛哭终日，下令百官挂孝，遥望设祭，上尊谥曰“孝愍皇帝”。,181-234,,,,10000101,"6,5",,,汉,四星
100002,100002,55,1,4,7300,7400,8200,7800,900,184,186,205,103,104,200002,0,0,0,10003,0,0,0,413007,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,"1,11,21",,十常侍,,@【史】@汉灵帝时的宦官集团。张让、赵忠、夏恽、郭胜、孙璋、毕岚、栗嵩、段珪、高望、张恭、韩悝、宋典十二个宦官，他们推动了汉朝的灭亡，是引发了汉末时局大动荡的主要原因。\n^【演】^张让、赵忠、夏恽、郭胜、孙璋、毕岚、栗嵩、段珪、高望、张恭、韩悝、宋典等十二个宦官朋比为奸，号为“十常侍”。,?,,,宦官乱政除异已#颠倒黑白乱天下,10000201,"4,2",,,汉,五星
100003,100003,35,3,3,9900,10000,3000,10000,300,230,189,30,202,26,200003,0,0,0,0,0,0,0,110001,0,0,0,0,0,0,20049,0,1,1766977200,1,4,0,0,0,1,0,0,0,0,"3,23,33",,吕布,,@【史】@吕布以勇武闻名，号称“飞将”，时有“人中吕布，马中赤兔”之说。原为丁原部将，被唆使谋害丁原归附董卓，与董卓誓为父子，后又被司徒王允唆使诛灭董卓。旋即被董卓旧部李傕等击败，依附袁绍，又被袁绍猜忌，依附张杨。兴平元年（194年），吕布趁曹操攻打陶谦时与陈宫等叛乱，占据濮阳，但两年间被曹操击败转而去依附徐州刘备，又趁刘备与袁术作战时袭取了徐州，与刘备和好一阵又相互攻伐。\n期间，以辕门射戟化解刘备与纪灵的争斗。建安三年（198年），吕布先后击败刘备与夏侯惇后，曹操亲自出马征讨吕布，水淹下邳，吕布被部下叛变，城破被俘，被处死。\n^【演】^吕布是骁勇善战的汉末诸侯，先后跟随丁原、董卓作战，并最终谋害了丁原和董卓。成为独立势力后，吕布与曹操为敌，和刘备、袁术等诸侯时敌时友，最终不敌曹操和刘备的联军，兵败人亡。吕布虽然勇猛，但是少有计策，为人反复无常，唯利是图。在演义中，吕布是天下无双的超一流武将，曾在虎牢关大战刘备、关羽、张飞，曾一人独斗曹操军六员大将，武艺可谓公认的演义第一。,?-199,奉先,,龙驹跳踏起天风#画戟荧煌射秋水,10000301,"1,4",,,汉,五星
100004,100004,20,3,2,6100,7200,9000,8500,200,82,80,131,95,14,200004,0,0,0,0,0,0,0,210008,0,100004,0,0,0,0,0,0,0,0,1,4,1,0,0,1,0,0,0,0,"3,23,33",,蔡文姬,,@【史】@东汉末才女，博学多才且精通音律。匈奴入侵时，被匈奴掳走。十二年后，曹操统一北方，用重金将蔡文姬赎回，并将其嫁给董祀。,?,昭姬,,去时怀土心无绪#来时别儿思漫漫,10000401,5,,,汉,五星
100005,100005,25,1,2,7900,7400,8800,6800,1000,124,107,160,107,72,200005,0,0,0,0,0,0,0,110002,0,0,0,0,0,0,20049,1,0,0,1,4,1,0,0,1,0,0,0,0,"1,21,31",,貂蝉,,^【演】^中国古代四大美女之一。其善歌舞，色伎俱佳，凭借自己的美貌智慧在诸侯争霸的战乱年代，辗转于各诸侯之间。她通过王允的安排成为了吕布的妾室，巧施连环计成功诱使吕布诛灭了董卓。,176-?,,,三战虎牢徒费力#凯歌却奏凤仪亭,10000501,4,,,汉,五星
100006,100006,30,2,2,8200,8800,8000,3600,2500,130,163,105,57,196,200006,0,0,0,0,0,0,0,210001,0,100006,0,0,0,0,20091,1,0,0,1,4,0,0,0,1,0,0,0,0,"2,12,32",,袁绍,,@【史】@东汉末年军阀，汉末群雄之一。在汉末群雄割据的过程中，袁绍先占据冀州，又先后夺青、并二州，并于建安四年（199年）的易京之战中击败了割据幽州的军阀公孙瓒，统一河北，势力达到顶点。但在建安五年（200年）的官渡之战中大败于曹操。建安七年（202年），袁绍在平定冀州叛乱之后病逝。\n^【演】^在《三国演义》中，袁绍初为何进党羽。何进被害后，与袁术等共同诛灭宦官。董卓夺权之后，残暴不仁，涂炭生灵。袁绍奔冀州组成十七路诸侯反董卓联合。董卓迁都长安后，袁绍便引诱公孙瓒进攻冀州，并胁迫韩馥控制冀州。随后袁绍为扩大势力范围而相继占领青州、并州。\n袁绍歼灭公孙瓒，平定幽州之后，在河北建立起庞大的势力。为了与曹操一决雌雄，袁绍遣七十万兵越过黄河，却于官渡之战中被火烧乌巢，惨遭落败。最终，袁绍与曹操在仓亭决战，败归后不久病死。,?-202,本初,,少年意气自纵横#漫有英雄百万兵,10000601,"1,6",,,汉,五星
100007,100007,30,3,1,10800,13200,12300,8900,700,75,132,82,153,67,200007,0,0,0,0,0,0,0,110003,0,100007,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,"3,32,13",,卢植,,@【史】@东汉名臣，刘备和公孙瓒之师。黄巾起义时为北中郎将，率军与张角交战，后被诬陷下狱，皇甫嵩平定黄巾后力救卢植，于是复任为尚书。后因上谏激怒董卓被免官，隐居在上谷军都山，被袁绍请为军师。\n^【演】^在《三国演义》中，卢植为汉末大儒，名望远闻于时。刘备曾经从师于他。黄巾起义，卢植奉命镇压，以三万精锐，包围了广宗城张角的十五万人马，未见胜负，因拒绝黄门左丰索要贿赂，而被诬陷罢职问罪。何进招董卓进京诛宦臣。卢植力谏，何进不听。于是辞官而去。董卓得政后，卢植又复职，谏阻董卓废少帝立陈留王。,139-192,子干,,未似马家亲子婿#终身不踏绛纱庭,10000701,3,,,汉,五星
100008,100008,25,3,2,2100,6700,9300,8500,300,29,92,215,157,25,200008,0,0,0,0,0,0,0,110004,0,100008,0,0,0,0,0,0,0,0,5,4,0,0,0,1,0,0,0,0,"3,31,23",,张角,,@【史】@东汉末农民起义领袖。汉灵帝时期在各地传播“太平道”，发展部众至几十万，遍及青、徐、幽、冀、荆、扬、兖、豫八州。184年二月，张角发动起义，打出了“苍天已死，黄天当立”的口号，矛头直指东汉政府，史称“黄巾起义”，影响遍及全国，极大地动摇了东汉政府的统治。同年十月，张角病死，不久其直接领导的黄巾军被镇压，但其后各地起义不断，最终导致东汉灭亡。\n^【演】^在《三国演义》中，张角原是个不第的秀才，在山中采药时遇南华老仙，得天书三卷，名为《太平要术》。张角依此书所传道术，开始散施符水，为人治病，徒众发展到数十万。张角遂起了夺取天下的野心，与兄弟张宝、张梁一起发兵起义，声势浩大，但最终被朝廷和各路豪杰镇压。张角病死，黄巾军主力随即覆灭，但仍有很多残党在各地活动。,?-184,,,苍天已死，黄天当立#岁在甲子，天下大吉,10000801,2,,,群,五星
100009,100009,30,3,3,8800,9100,6800,8100,1000,207,230,79,164,101,200009,0,0,0,0,0,0,0,410012,0,100009,0,0,0,0,20069,1,0,0,5,4,0,0,0,1,0,0,0,0,"3,13,43",,董卓,,@【史】@中平六年（189年），受大将军何进、司隶校尉袁绍所召，率军进京讨伐十常侍，却借何进被害之机，得以掌握朝政。他随后废除汉少帝，改立献帝。关东诸侯联盟讨伐董卓，董卓放弃洛阳，移都长安。董卓生性残虐，当权后横征暴敛，激起了民愤，最后被王允和吕布所诛。\n^【演】^原为汉河东太守，征讨黄巾不利，却因贿赂十常侍官至西凉刺史。董卓借何进被害之机，得以掌握朝政，又赠赤兔马给吕布，诱其投降并谋害丁原，从此不可一世。董卓废汉少帝，立汉献帝，朝臣敢怒不敢言；董卓生性残暴，经常纵兵掠民，百姓皆恨。后来，司徒王允利用貂蝉巧使连环计，使董卓为吕布所诛。,?-192,仲颖,,郿坞追魂凭李肃#宫门取命有温侯,10000901,3,,,群,五星
100010,100010,40,3,3,10800,9200,2800,10000,300,395,242,39,242,33,200010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,"3,33,43",,吕布,,@【史】@吕布以勇武闻名，号称“飞将”，时有“人中吕布，马中赤兔”之说。原为丁原部将，被唆使谋害丁原归附董卓，与董卓誓为父子，后又被司徒王允唆使诛灭董卓。旋即被董卓旧部李傕等击败，依附袁绍，又被袁绍猜忌，依附张杨。兴平元年（194年），吕布趁曹操攻打陶谦时与陈宫等叛乱，占据濮阳，但两年间被曹操击败转而去依附徐州刘备，又趁刘备与袁术作战时袭取了徐州，与刘备和好一阵又相互攻伐。\n期间，以辕门射戟化解刘备与纪灵的争斗。建安三年（198年），吕布先后击败刘备与夏侯惇后，曹操亲自出马征讨吕布，水淹下邳，吕布被部下叛变，城破被俘，被处死。\n^【演】^吕布是骁勇善战的汉末诸侯，先后跟随丁原、董卓作战，并最终谋害了丁原和董卓。成为独立势力后，吕布与曹操为敌，和刘备、袁术等诸侯时敌时友，最终不敌曹操和刘备的联军，兵败人亡。吕布虽然勇猛，但是少有计策，为人反复无常，唯利是图。在演义中，吕布是天下无双的超一流武将，曾在虎牢关大战刘备、关羽、张飞，曾一人独斗曹操军六员大将，武艺可谓公认的演义第一。,?-199,奉先,,龙驹跳踏起天风#画戟荧煌射秋水,10001001,"1,4",,,群,五星
100011,100011,30,2,3,5200,8100,9800,3400,1300,96,164,248,45,144,200011,0,0,0,0,0,0,0,110164,0,100011,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,"2,31,12",,贾诩,,@【史】@东汉末年至三国初年著名谋士、军事战略家，曹魏开国功臣。原为董卓部将，董卓死后，献计李傕、郭汜反攻长安。李傕等人失败后，辗转成为张绣的谋士。张绣曾用他的计策两次打败曹操，官渡之战前他劝张绣归降曹操。曹操与关中联军相持渭南时，贾诩献离间计瓦解马超、韩遂，使得曹操一举平定关中。\n^【演】^在《三国演义》中，贾诩的生平大体与正史相符。其形象突出，计无不中，甚至曾令善于用兵的曹操几度败绩。其所从属势力颇多，先随李傕，再随张绣，最后事曹操曹丕两代。加上他曾助曹丕篡汉，其形象不算十分正面。可是即使贾诩曾助李傕、曹魏这些在《三国演义》形象比较负面的势力，他的才能仍备受肯定。而且不论是李傕、张绣，还是曹操、曹丕，都将贾诩视为心腹。可见其人善于交际，亦深晓乱世自保之术。,147-223,文和,,生平筹策算无遗#经达权变真奇人,10001101,2,,,群,五星
100012,100012,35,1,4,10000,9900,3100,8000,300,244,282,50,162,33,200012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,1,,吕布,,@【史】@吕布以勇武闻名，号称“飞将”，时有“人中吕布，马中赤兔”之说。原为丁原部将，被唆使谋害丁原归附董卓，与董卓誓为父子，后又被司徒王允唆使诛灭董卓。旋即被董卓旧部李傕等击败，依附袁绍，又被袁绍猜忌，依附张杨。兴平元年（194年），吕布趁曹操攻打陶谦时与陈宫等叛乱，占据濮阳，但两年间被曹操击败转而去依附徐州刘备，又趁刘备与袁术作战时袭取了徐州，与刘备和好一阵又相互攻伐。\n期间，以辕门射戟化解刘备与纪灵的争斗。建安三年（198年），吕布先后击败刘备与夏侯惇后，曹操亲自出马征讨吕布，水淹下邳，吕布被部下叛变，城破被俘，被处死。\n^【演】^吕布是骁勇善战的汉末诸侯，先后跟随丁原、董卓作战，并最终谋害了丁原和董卓。成为独立势力后，吕布与曹操为敌，和刘备、袁术等诸侯时敌时友，最终不敌曹操和刘备的联军，兵败人亡。吕布虽然勇猛，但是少有计策，为人反复无常，唯利是图。在演义中，吕布是天下无双的超一流武将，曾在虎牢关大战刘备、关羽、张飞，曾一人独斗曹操军六员大将，武艺可谓公认的演义第一。,?-199,奉先,,,00,,,,群,六星
100013,100013,30,3,3,9700,9100,4500,9200,400,278,184,52,154,41,200013,0,0,0,0,0,0,0,110011,0,100013,0,0,0,0,20182,0,1,1782097200,5,4,0,0,0,1,0,0,0,0,"3,23,153",,马超,,@【史】@马腾之子，少年成名，曹操曾多次征召马超入京为官，但都被马超拒绝。建安十六年（211年），曹操治兵关中，马超联合关中诸侯韩遂等抵抗曹操，曾一度对曹操造成了极大的威胁，但被曹操用离间计击败退走，而后聚拢部队再次攻取陇上诸郡，失败后依附汉中张鲁。刘备攻打刘璋时，马超投降刘备，与刘备军合围成都，汉中之战后联名上书尊刘备为汉中王。蜀汉建立后，马超官至骠骑将军、斄乡侯。\n^【演】^在《三国演义》中，马超被称为“锦马超”，羌人将其奉为“神威天将军”。出场时十七岁，在长安连破之前逐走吕布的董卓部将王方、李蒙。曹操诱诛马腾后，马超为报父仇，起兵反曹，在潼关击败大将张郃，数合枪挑李通，逼得曹操割须弃袍。而后大战虎痴许褚，被贾诩用离间计击败，败走凉州。\n不久马超卷土重来，占领冀城，虽然非常勇猛，战场上阵斩杨阜七位兄弟，但仍被夏侯渊、杨阜等人联合击退。投奔汉中张鲁后，在葭萌关前大战张飞，被劝降归附刘备，随即引兵迫降刘璋，并活跃于汉中之战。蜀汉建立后马超镇守西平关，令伐蜀五路兵的羌兵不战自退。,176-223,孟起,,威震西凉立大功#渭桥六战最英雄,10001301,"1,7",,,群,五星
100014,100014,35,3,2,9400,8800,5400,7000,1400,209,111,103,134,161,200100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,3,,董卓,,@【史】@中平六年（189年），受大将军何进、司隶校尉袁绍所召，率军进京讨伐十常侍，却借何进被害之机，得以掌握朝政。他随后废除汉少帝，改立献帝。关东诸侯联盟讨伐董卓，董卓放弃洛阳，移都长安。董卓生性残虐，当权后横征暴敛，激起了民愤，最后被王允和吕布谋诛。\n^【演】^原为汉河东太守，征讨黄巾不利，却因贿赂十常侍官至西凉刺史。董卓借何进被害之机，得以掌握朝政，又赠赤兔马给吕布，诱其投降并谋害丁原，从此不可一世。董卓废汉少帝，立汉献帝，朝臣敢怒不敢言；董卓生性残暴，经常纵兵掠民，百姓皆恨。后来，司徒王允利用貂蝉巧使连环计，使董卓为吕布所诛。,?-192,仲颖,,,00,,,,汉,六星
100015,100015,20,1,3,6500,7500,9000,4200,1000,131,129,88,85,94,200015,0,0,0,0,0,0,0,210002,0,100015,0,0,0,0,0,0,0,0,5,4,1,0,0,1,0,0,0,0,"1,11,21",,甄洛,,@【史】@魏文帝曹丕的妻子，魏明帝曹叡的生母。黄初二年（221年），曹丕称帝以后甄夫人被赐死，曹叡即位后追尊甄氏为文昭皇后。\n^【演】^在《三国演义》中，甄氏生平与正史大体相当。初期嫁与袁绍次子袁熙，袁熙带兵出外征战，留下甄氏独身照顾婆婆，袁氏败亡后，曹操之子曹丕见其美艳动人，便纳为己有。黄初年间，魏文帝曹丕登基后，郭贵妃以巫蛊之术陷害甄氏。文帝曹丕大怒，将甄氏赐死。,183-221,,,体迅飞凫，飘忽若神#凌波微步，罗袜生尘,10001501,"5,7",,,群,五星
100016,100016,35,2,3,8000,8100,8000,3800,1800,154,183,128,92,173,200016,0,0,0,0,0,0,0,110006,0,100016,0,0,0,0,20182,0,1,1782097200,3,4,0,0,0,1,0,0,0,0,"2,12,32",,刘备,,@【史】@西汉中山靖王刘胜之后，三国时期蜀汉开国皇帝、政治家，史家又称他为先主。刘备早年颠沛流离，备尝艰辛，投靠过多个诸侯。赤壁之战时，与孙权联盟击败曹操，趁势夺取荆州。而后进取益州。于章武元年（221年）在成都称帝，国号汉，史称蜀或蜀汉。《三国志》评刘备的机权干略不及曹操，但其弘毅宽厚，知人待士，百折不挠，终成帝业。刘备也称自己做事“每与操反，事乃成尔”。\n^【演】^在《三国演义》中，刘备的事迹基本与正史相符。书中将其塑造成一位胸襟开阔的，十足的明主形象。并重点突出其几个性格特点：一是亲贤爱士，善待人才；二是生性善良，爱民如子；三是待人宽厚，不求全责备；四是偶有权谋，颇有心计。,161-223,玄德,,贤矣昭烈，宽厚弘毅#崎岖立国，仗信履义,10001601,5,,,蜀,五星
